"","X.1","Unnamed..0","X","Date","Year","Time","Location","Operator","Route","AC.Type","Manufacturer","Registration","cn.ln","Aboard","Aboard.Passangers","Aboard.Crew","Fatalities","Fatalities.Passangers","Fatalities.Crew","Ground","Summary","Coordinates","Latitude","Longitude","Country","Country.coordinates","Location_Status"
"11",62,67,67,"04/07/1922",1922,"13-14","Grandvilliers, France","Daimler Airways / Grands Express Aeriens","Croydon - Le Bourget","de Havilland DH-18 / Farman F-60 Goliath","deHavilland","G-EAOW/FGEAD","4",7,5,2,7,5,2,0,"A midair collision occurred at 400 ft. in poor visibility approximately 18 miles north of Beauvais, France. The pilots of both planes were using the road as a route marker in bad weather and poor visibility. This was the  first commercial midair collision in aviation history. Two killed on the de Havilland, five on the Faman F-60.","(49.664295, 1.942836)",51.02648621398,0.402702985737916,"France","France","correct location"
"12",66,71,71,"07/16/1922",1922,"16-17","Saverne, Lorraine, France","Compagnie Franco-Roumaine de Navigaation Aerienne","Strasbourg - Paris","Potez 29","Other","F-FREI","25",5,4,1,5,4,1,0,"Lost an engine and could not make an emergency landing because of gusty winds. Stalled while making a turn and crashed.","(48.740076, 7.359064)",49.6069196502937,7.69464597703568,"France","France","correct location"
"13",76,81,81,"05/14/1923",1923,"13-14","Amiens, Picrdie, France","Grands Express Aeriens (Air Union)","Paris - London","Farman F-60 Goliath","Farman","F-AEBY","15",6,4,2,6,4,2,0,"Broke-up in mid air after suffering structural failure at 3,000 ft. after a onboard fire weakened the plane's structure losing a wing. Possibly started by a passenger discarding a match after lighting a cigarette.","(49.899796, 2.2163)",50.5689308723399,3.32286410899581,"France","France","correct location"
"14",80,85,85,"09/14/1923",1923,"18-19","Ivinghoe, Buckinghamshire, England","Daimler Airways","Croydon - Manchester","de Havilland DH-34","deHavilland","G-EBBS","29",5,3,2,5,3,2,0,"Crashed while attempting a forced landing after encountering heavy rain.","(51.83602, -0.62983)",52.0585092344305,-0.895084225177735,"United Kingdom","United Kingdom","correct location"
"15",97,103,103,"09/03/1925",1925,"05-06","Caldwell, Ohio","Military - U.S. Navy","Lakehurst, NJ - S.t Louis, MO","Dirigible ZR-1 Shenandoah (airship)","Other","ZR-1","",43,NA,NA,14,NA,NA,0,"The Shenandoah was flying over Southern Ohio when she abruptly encountered violent atmospheric conditions (thunderstorms). Powerful air currents buffeted her so severely that her crew was unable to maintain control. Rising rapidly above her pressure height, then falling and rising again, her hull structure was overstressed amidships, breaking the airship in two. Shenandoah's external control car and two engine cars fell free, carrying the dirigible's commanding officer and several other men to their deaths. The stern section came down nearby, while several men were able to fly the bow section to ground as a free balloon.","(43.6591, -116.680967)",45.4666251525643,-117.360474561131,"United States","United States","correct location"
"16",104,111,112,"07/09/1926",1926,"09-10","Wolvertem, Belgium","KLM Royal Dutch Airlines","Amsterdam - Rotterdam - Brussels - Paris","Fokker F7","Fokker","H-NACC","4759",2,1,1,2,1,1,0,"Crashed into the ground while descending in poor weather.","(50.953922, 4.311837)",52.72217466332,2.54687422416791,"Belgium","Belgium","correct location"
"17",111,118,119,"11/11/1926",1926,"08-09","Cape Bojador, Morocco","Grands Express Aeriens","Casablanca -Dakar","Breguet 14","Breguet","F-AFAX","198",3,3,0,3,3,0,0,"While en route and cruising along the shore, the mail plane's engine failed. The crew made an emergency landing on a beach near Cape Bojador. After the landing, crew was attacked by Maures tribesmen and killed while the aircraft was set on fire and destroyed.","(26.12398, -14.48622)",26.8652998819316,-15.727849955101,"Morocco","Morocco","correct location"
"18",121,128,129,"08/22/1927",1927,"08-09","Sevenoaks, England","KLM Royal Dutch Airlines","Croydon - Schiphol","Fokker F-VIII","Fokker","H-NADU H-NADU","4993",11,9,2,1,0,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.","(51.272414, 0.195466)",50.5774593103226,0.626652643114466,"United Kingdom","United Kingdom","correct location"
"19",125,132,133,"09/23/1927",1927,"10-11","Schleiz, Germany","Deutsche Lufthansa","Berlin - Munich","Dornier Merkur","Dornier","D-585","075",6,4,2,6,4,2,0,"From an altitude of 500 ft. the plane went out of control and crashed  due to a broken wing strut.","(50.577409, 11.80898)",51.4582640300999,10.4947619097503,"Germany","Germany","correct location"
"20",148,156,157,"07/24/1928",1928,"14-15","Waalhaven, Netherlands","KLM Royal Dutch Airlines","Sightseeing over Rotterdam","Fokker (KLM) F.III","Fokker","H-NABR","1533 (KLM-1)",6,5,1,1,1,0,0,"The plane became airborne in a stalled condition, hit a shipsmast and crashed into the Waalhaven.","(51.890865, 4.439906)",52.1393305975801,0.785469590818705,"Netherlands","Netherlands","correct location"
"21",150,158,159,"09/02/1928",1928,"91-00","Toul, France","CIDNA","Toul - Clermont-Ferrand","Bleriot Spad 33","Bleriot","F-AIEP","5/4207",5,2,3,5,2,3,0,"After taking off the engine failed, the plane stalled and crashed.","(48.67443, 5.891266)",49.4288674136485,6.8991850465356,"France","France","correct location"
"22",152,160,161,"09/04/1928",1928,"11-12","Pocatello, Idaho","National Parks Airways","Great Falls - Pocatello - Salt Lake City","Fokker Super Universal","Fokker","NC7242","809",7,6,1,7,6,1,0,"While flying low and circling six times for a landing, the mail plane went into a nose dive when the pilot headed into the wind and crashed to the ground, rolling over several times.","(42.864995, -112.439298)",42.4378314863778,-112.205969063381,"United States","United States","correct location"
"23",160,169,170,"12/01/1928",1928,"10-11","Spur, Texas","Sunbeam Air Transport Co.","San Antonio - Amarillo - Tulsa - Denver","Ford 4-AT-B Tri Motor","Ford","NC7862","4-AT-47",5,4,1,5,4,1,0,"The aircraft crashed and burned while en route. Flames were seen aboard the plane before it crashed. The plane was on a delivery flight.","(33.478987, -100.857075)",32.4090721659588,-101.293121321837,"United States","United States","correct location"
"24",171,181,182,"03/17/1929",1929,"17-18","Newark, New Jersey","Colonial Western Airlines","Sightseeing","Ford 5-AT-B Tri Motor","Ford","NC7683","4-AT-41",15,13,2,14,13,1,0,"The plane was making the last of a number of sightseeing flights when two of it's three engines failed. The plane stalled and went out of control at an altitude of 200 ft. and crashed into a railroad freight car. Engine failure followed by a stall during an emergency landing attempt.","(40.718619, -74.185148)",40.7575470085359,-74.9427663069049,"United States","United States","correct location"
"25",172,182,183,"03/30/1929",1929,"09-10","Beaumont, California","New Standard Airlines","Los Angeles - Phoenix - El Paso","Fokker F-VIIA","Fokker","NC7888","617",4,3,1,4,3,1,0,"The aircraft crashed into a high mountain ridge, exploding on impact. Investigators speculated that upon encountering fog and winds in the treacherous mountain pass, the pilot may have turned the airliner around and was heading back to the airport when the crash occurred.","(30.084818, -94.145006)",29.3548461771532,-93.6980193683413,"United States","United States","correct location"
"26",173,183,184,"04/21/1929",1929,"11-12","San Diego, California","Maddux Airlines / Military - U.S.Army Air Force","San Diego - Phoenix","Ford 5-AT-B Tri-Motor / B-PW-9D","Ford","NC9636 / 28-037","4-AT-010",6,3,3,6,3,3,0,"A midair collision occurred  with a US Air Force Boeing PW-9D at 2,000 ft.  Five killed on the Tri-motor, one on the Boeing. Army pilot Lieutenant Howard Keefer, while flying above the airliner, was stunting and performed a steep banking turn downward, in an attempt to pass in front of the airliner. Instead, he misjudged the speed of the Maddux aircraft and his diving plane struck the cockpit of the Ford Tri-motor.  He was found criminally negligent.","(32.72793, -117.15529)",32.8908661420346,-116.40972984408,"United States","United States","correct location"
"27",176,187,188,"06/13/1929",1929,"08-09","Santiago de Cuba, Cuba","Pan American Airways","Santiago de Cuba - Havana","Fokker F-X","Fokker","NC9700","1010",5,1,4,2,1,1,0,"Crashed while taking off. The muddy field prevented the aircraft from gaining altitude. The plane hit telephone wires and crashed. The plane was named ""Christopher Columbus"".","(20.02472, -75.82194)",20.0221425053618,-73.3552991625131,"Cuba","Cuba","correct location"
"28",180,191,192,"06/29/1929",1929,"21-22","Lindau, Bavaria, Germany","Bodensee Aerolloyd","","Domier Delphin III (flying boat)","Other","D-1620","151",5,4,1,5,4,1,0,"The seaplane crashed into lake Constance while attempting to landing. The landing was hard and the plane broke in two and sank.","(47.558444, 9.704194)",47.4794944233166,10.5940504223959,"Germany","Germany","correct location"
"29",193,204,205,"10/26/1929",1929,"18-19","Spezia, Italy","Imperial Airways","Naples - Genoa","Short Calcutta (flying boat)","Short","G-AADN","S748",7,5,2,7,5,2,0,"The aircraft ditched in the ocean after encountering gale force winds. Sank while in tow. The plane was named ""City of Rome.""","(44.117043, 9.836761)",43.7723686150991,10.2220322646247,"Italy","Italy","correct location"
"30",196,207,208,"11/04/1929",1929,"07-08","Cerro del Carbon, Mexico","Corp. Aeronautica de Transportes","Matamoros - Mexico City - Juarez","Lockheed Vega 5","Lockheed","NC46M","097",4,3,1,4,3,1,0,"The mail plane crashed in dense fog.","(20.40405, -97.28852)",20.8745722638324,-94.543942878132,"Mexico","Mexico","correct location"
"31",197,208,209,"11/06/1929",1929,"10-11","Godstone, Surrey, England","Deutsche Lufthansa","Croyden - Amsterdam - Berlin","Junkers G-24","Junkers","D-903","911",8,4,4,7,3,4,0,"After the plane's antenna wire struck the ground and was partially torn off, the pilot attempted to return to land but hit tree tops and crashed in rain and fog.","(51.25159, -0.067518)",51.3660650334284,-1.01489046821037,"United Kingdom","United Kingdom","correct location"
"32",198,209,210,"11/16/1929",1929,"09-10","Corsica, France","Air Union","Marseille - Ajaccio - Tunis","Liore et Olivier 190","Liore et Olivier","F-AIGB","1",3,0,3,3,0,3,0,"While flying along the Corsican coast, the aircraft crashed into the Mediterranean in fog. No trace of the plane was ever found.","(42.151607, 9.105924)",43.6525600075135,8.92648828225573,"France","France","correct location"
"33",203,214,215,"12/30/1929",1929,"17-18","Amarillo, Texas","Trans Continental Air Transport","Demonistration","Travel Air B6000","Travel","","",5,3,2,5,3,2,0,"Crashed onto a golf course  while on approach during a demonstration flight.","(35.221849, -101.840963)",34.2415595568544,-98.9151336522753,"United States","United States","correct location"
"34",205,217,218,"01/19/1930",1930,"18-19","Oceanside, California","Maddux Airlines","Aqua Caliente, Mexico - Los Angeles","Ford 5-AT-C Tri Motor","Ford","NC9689","5-AT-046",16,14,2,16,14,2,0,"While en route to Los Angeles, the pilot, flying a low altitude due to poor weather conditions tried to turn back. While in a left turn his left wing struck a hill, crashed and burned. Adverse weather conditions. The plane flew into a sudden squall which cause the pilot to lose control.","(33.224992, -117.308423)",30.2663954593912,-118.868815962161,"United States","United States","correct location"
"35",207,219,220,"01/27/1930",1930,"17-18","Kansas City, Missouri","Central  Airlines (Universal Aviation Corporation)","Wichita - Kansas City, KS","Travel Air A6000A","Travel","","963",5,4,1,5,4,1,0,"While preparing to land, the plane side slipped and dived into the ground from a height of 500 ft. and caught fire. As quickly as the bodies were removed, a hastily mustered crew of pilots and mechanics from Universal Airlines  and Central Airlines, began removing all evidence of the accident, savagely fighting off reporters and photographers as they worked.","(39.106581, -94.731189)",40.0093174413443,-94.2792963976078,"United States","United States","correct location"
"36",210,222,223,"04/18/1930",1930,"17-18","Jersey City, New Jersey","Canadian Colonial Airways","Albany, NY - Jersey City, NJ","Fairchild 71","Fairchild","NC9148","634",4,3,1,4,3,1,0,"Crashed into power lines 150 feet above the ground in fog.","(40.710478, -74.072021)",39.5557343502636,-77.824806186191,"United States","United States","correct location"
"37",215,227,228,"07/21/1930",1930,"15-16","Meopham, Kent, England","Walcot Air Line","London - Le touquet, France","Junkers F-13ge","Junkers","G-AAZK","",6,4,2,6,4,2,0,"The plane crashed about 10 miles from it's destination. Possible buffeting or irregular ocillation of the horizontal stabilizer leading to separation of the left stabilizer.","(51.364468, 0.358732)",49.7024150720273,2.72333761445403,"United Kingdom","United Kingdom","correct location"
"38",219,231,232,"10/05/1930",1930,"02-03","Beauvais, France","Military - British Air Ministry","Cardington, England - Karachi, Pakistan","Royal Airship Works R-101","Other","G-FAAW","R-101",54,NA,NA,48,NA,NA,0,"The airship was on its inaugural flight from Cardington, England to Karachi, (Pakistan). During a storm on the first night, it suddenly nosedived, leveled briefly, then dived again crashing and burning. Preparations had been rushed for political reasons and there had been no full-speed test flight. In the wind and rain, the outer cover split open at the front so that the two forward gasbags ruptured simultaneously. Dropping ballast raised the nose, but only because there was also dynamic lift, which was promptly lost as speed was reduced, presumably to save the remaining gasbags.","(49.434164, 2.087193)",48.9037258810058,2.93421454076757,"France","France","correct location"
"39",220,232,233,"10/06/1930",1930,"09-10","Dresden, Germany","Deutsche Lufthansa","Berlin - Vienna","Messerschmitt M-20B","Other","D-1930","443",8,6,2,8,6,2,0,"Crashed into hill while attempting to land after running into a strong gust of wind..","(51.055604, 13.731021)",50.479751362724,14.1771666627188,"Germany","Germany","correct location"
"40",234,246,247,"03/21/1931",1931,"13-14","New South Wales, Australia","Australian National Airways","Sydney - Melbourne","Avro 10","Avro","VH-UMF","241",8,6,2,8,6,2,0,"Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.","(-32.494981, 146.586903)",-31.7995101675703,145.516062573257,"Australia","Australia","correct location"
"41",235,247,248,"03/31/1931",1931,"10-11","Bazaar, Kansas","Trans Continental and Western Air","Kansas City - Wichita -  Los Angeles","Fokker F10A Trimotor","Fokker","NC-999","1063",8,6,2,8,6,2,0,"Shortly after taking off from Kansas City, one of the aircraft's wing's separated in flight after penetrating a thunderstorm and experiencing strong turbulence and icing. The plane crashed into a wheat field. Wing-aileron flutter, brought about by moisture leaking into the wing's interior, weakening the glue that bonded the wooden spars. Notre Dame football coach, Knute Rockne, 43, killed.","(38.253145, -96.50388)",37.4698914960893,-96.6476152484331,"United States","United States","correct location"
"42",236,249,250,"05/05/1931",1931,"23-00","Burbank, California","Pacific Air Transport","San Diego - Los Angeles","Boeing 40","Boeing","NC5390","1044",2,0,2,2,0,2,0,"The mail plane crashed into Las Tunas Canyon while attempting to land at  Burbank Airport in dense fog.","(34.185797, -118.322584)",33.1815724359161,-121.378205159628,"United States","United States","correct location"
"43",238,251,252,"05/24/1931",1931,"22-23","Bellefonte, Pennsylvania","National Air Transport","","Boeing 95","Boeing","NC397E","1057",1,0,1,1,0,1,0,"Crashed into a mountain and burned in poor visibility and icing conditions.","(40.915216, -77.768685)",41.4666971048999,-76.3992996179767,"United States","United States","correct location"
"44",245,259,260,"08/09/1931",1931,"08-09","Cincinnati, Ohio","American Airways","Cincinnati - Atlanta","Ford 5-AT-C Tri Motor","Ford","NC9662","5AT-029",6,4,2,6,4,2,0,"Crashed from a height of 500 feet on the banks of Little Miami River shortly after taking off.  Engine failure due to a broken hub on the right engine which led to the detachment of the motor from the aircraft.","(39.147604, -84.544084)",38.3792531833152,-82.7394910469508,"United States","United States","correct location"
"45",246,260,261,"09/14/1931",1931,"20-21","Chicago, Illinois","Chicago-Detroit Airways","","Lockheed Vega","Lockheed","NC606","056",1,0,1,1,0,1,0,"Crashed in a severe rainstorm while attempting to land.","(41.87897, -87.66063)",43.7558400109194,-91.4643217937931,"United States","United States","correct location"
"46",248,262,263,"09/16/1931",1931,"04-05","Oakland, California","Pacific Air Transport","Oakland, CA - Seattle, WA","Boeing 40","Boeing","NC10347","1428",4,3,1,4,3,1,0,"Crashed into San Francisco Bay shortly after taking off from Oakland airport.","(37.785199, -122.197811)",37.7562694456198,-116.302110345449,"United States","United States","correct location"
"47",257,271,272,"12/06/1931",1931,"05-06","Bangkok, Thailand","KLM Royal Dutch Airlines","Djakarta - Amsterdam -  Bangkok - Rangoon (Burma)","Fokker F-VIIb-3M","Fokker","PH-AFO","5226",7,3,4,5,2,3,0,"Take off  was made with the  emergency hatch in cockpit roof open. This spoiled the lift and aircraft didn't become airborne.  At the end of the field, the aircraft crashed into a dam.","(13.881591, 100.644533)",13.6487876442329,102.230137523796,"Thailand","Thailand","correct location"
"48",261,275,276,"01/29/1932",1932,"16-17","Lebec, California","Century Pacific Lines","San Francisco - Bakersfield - Los Angeles, CA","Stinson SM-6000B","Stinson","NC10813","5034",8,7,1,8,7,1,0,"Crashed into a canyon, in mountains, during a blizzard. Wreckage found a week later.","(34.837486, -118.887181)",34.8309765881905,-117.854084696058,"United States","United States","correct location"
"49",275,308,309,"03/25/1933",1933,"20-21","Hayward, California","Varney Airlines","Burbank - San Francisco","Lockheed Orion 9","Lockheed","NC12226","184",3,2,1,3,2,1,11,"The aircraft crashed into tops of two houses and smashed into a third, bursting into flames in heavy rain.  An unusual and unforeseen condition of the weather developed its intensity in the immediate locality of the accident.  The ceiling suddenly dropped as the plane approached its destination.","(37.620384, -122.13194)",38.1232215925399,-121.23984370997,"United States","United States","correct location"
"50",276,309,310,"03/28/1933",1933,"14-15","Dixmude, Belgium","Imperial Airways","Cologne, Germany - Croydon, England","Armstrong Whitworth Argosy II","Other","G-AACI","AW-363",15,12,3,15,12,3,0,"The airliner was crusing at about 4,000 feet when fire was observed coming out of its tail section. The pilot tried to make an emergency landing but the fuselage split in two causing the aircraft to crash and burn. Although never proven, this is thought to be the first airline disaster caused by an act of satotage. The fire was thought to have been started by a passenger, Dr. Voss,  in an attempt to commit suicide. The plane was named Cit y of Liverpool.","(51.028548, 2.868107)",52.4860879272826,6.1798720030867,"Belgium","Belgium","correct location"
"51",278,311,312,"04/04/1933",1933,"12-13","Barnegat, New Jersey","Military - U.S. Navy","","Goodyear-Zeppelin U.S.S. Akron (airship)","Other","ZRS-4","",76,NA,NA,73,NA,NA,0,"While cruising at 1,600 feet off New Jersey, strong air currents droped the ship to 700 feet before leveling off.  Before it could regain a safe height, it plummeted into the Atlantic Ocean. Decision by the commander to fly into a storm despite the presence of lightning.","(39.754921, -74.221882)",41.7749678829726,-74.1802639873442,"United States","United States","correct location"
"52",279,312,313,"04/23/1933",1933,"07-08","Castrovillari, Calabria, Italy","Air Orient","Corfu - Naples","Cams 53-1","Other","F-ALCE","29",8,5,3,5,2,3,0,"Crashed into a mountain after encountering a mountain wave..","(39.819304, 16.204499)",40.5269383154944,14.8232191028356,"Italy","Italy","correct location"
"53",281,314,315,"05/09/1933",1933,"15-16","Viladrau, Spain","Aeropostale - La Tecoere Company","Paris - Morroco","Latecoere 28-1","Latecoere","F-AJIX","1701",6,3,3,6,3,3,0,"Crashed after being forced down to the ground by strong downdrafts.","(41.84746, 2.39019)",40.4855750634451,2.09263876906358,"Spain","Spain","correct location"
"54",282,315,316,"06/04/1933",1933,"03-04","Bowling Green, Virginia","Eastern Air Transport","","Pitcairns PA-6","Other","","",1,0,1,1,0,1,0,"The mail plane had engine faiure and crashed into a ravine.","(36.984763, -86.448058)",37.7164193536277,-87.0176831903271,"United States","United States","correct location"
"55",283,316,317,"06/11/1933",1933,"17-18","Glenview, Illinois","Palwaukee","Sightseeing","Sikorsky S-38B (flying boat)","Sikorsky","NC-141M","",9,7,2,9,7,2,0,"After attempting to land in lake Michigan the pilot encounter rough water and aborted the landing. While taking off the right wing separated from the plane due to the previous rough landing,","(42.080345, -87.810528)",42.3280203332729,-88.5773786556662,"United States","United States","correct location"
"56",285,318,319,"08/29/1933",1933,"01-02","Quay, New Mexico","Trans Continental and Western Air","Amarillo, TX - Albuquerque, NM","Ford 5-AT-B Tri Motor","Ford","NC9607","5-AT-005",5,3,2,5,3,2,0,"Crashed into a mountain slope  during a storm while attempting to make an emergency landing.","(35.0407, -103.539367)",34.5848154361338,-105.548836371199,"United States","United States","correct location"
"57",287,320,321,"10/10/1933",1933,"21-22","Chesterton, Indiana","United Air Lines","Newark - Cleveland - Chicago - Oakland","Boeing 247","Boeing","NC13304","1685",10,7,3,10,7,3,0,"While en route to Chicago, the aircraft was destroyed by an explosive device placed in the cargo hold, consisting of nitro-glycerin and attached to a timing device. Eyewitnesses on the ground reported hearing an explosion shortly after 9 p.m., and told of seeing the plane in flames at an altitude of about 1,000 feet. A second explosion followed after the plane crashed.This was the first proven case of sabotage in the history of commercial aviation.","(41.61059, -87.0642)",42.8202544100495,-84.4412612698456,"United States","United States","correct location"
"58",288,321,322,"10/31/1933",1933,"11-12","Etobon, France","Air France","Zurich - Basel - Paris","Farman F-301","Farman","F-AJMI","04",5,2,3,2,1,1,0,"","(47.64424, 6.67618)",48.1691089861071,9.40361982772978,"France","France","correct location"
"59",289,322,323,"11/09/1933",1933,"22-23","Portland, Oregon","United Air Lines","Seattle, WA - Dallas, TX","Boeing 247","Boeing","NC13345","1772",10,7,3,4,3,1,NA,"Crashed in a thickly wooded area upon taking off after the pilot became lost in fog.","(45.533467, -122.650095)",45.2016243992883,-120.271103221459,"United States","United States","correct location"
"60",294,327,328,"12/11/1933",1933,"16-17","Hamburg, Germany","Deutsche Lufthansa","Berlin - Hamburg","Focke-Wulf A-17","Other","D-1403","47",10,8,2,6,4,2,0,"Crashed after striking an obstacle while landing in poor visibility and snow.","(53.576158, 10.007046)",53.8044839739662,10.6828713917059,"Germany","Germany","correct location"
"61",296,330,331,"01/15/1934",1934,"18-19","Corbigny, France","Air France","Saigon - Paris","Dewoitine D-332","Dewoitine","F-AMMY","01",14,10,4,14,10,4,0,"The aircraft crashed while en route in a severe snowstorm.  Icing. The aircraft was named ""Emeraude.""","(47.255909, 3.681046)",47.7385134527708,2.35373427610825,"France","France","correct location"
"62",298,332,333,"02/23/1934",1934,"14-15","Salt Lake City, Utah","Boeing Aircraft Company","Salt Lake City - Cheyenne","Boeing 247","Boeing","NC13357","1739",8,5,3,8,5,3,0,"Crashed on top of Parley's Canyon, 20 miles from Salt Lake City shortly after taking off for Cheyenne. Pilot error. The crew failed to gain sufficient altitude to clear rapidly rising terrain.","(40.773201, -111.933984)",41.9078745084094,-112.145410415259,"United States","United States","correct location"
"63",305,339,340,"05/31/1934",1934,"05-06","Croydon, England","Air France","Croydon, England - Paris, France","Liore-et-Olivier 213","Liore et Olivier","F-AIVG","",2,0,2,2,0,2,0,"The cargo plane struck an aerial mast and crashed into houses while attempting to take off.","(51.373327, -0.092786)",52.3852332735242,1.557318381362,"United Kingdom","United Kingdom","correct location"
"64",306,340,341,"06/09/1934",1934,"17-18","Mongaup Mountain, New York","American Airways","New York - Chicago","Curtiss Condor T-32","Curtiss","NC12354","22",7,4,3,7,4,3,0,"Crashed into Last Chance Hill in the Catskill Mountains at an altitude of 2,000 feet in fog and thunderstorms while en route. Pilot deviated from the prescribed course and flew over hazardous terrain.","(41.42481, -74.76211)",41.46262864403,-75.7230688377081,"United States","United States","correct location"
"65",308,343,344,"06/23/1934",1934,"06-07","Burbank, California","Aerevias Centrales Air Service","Mexico - Burbank","Lockheed Orion","Lockheed","XA-BEJ","",1,0,1,1,0,1,0,"Crashed while en route to pick up passengers. The plane crashed near a fire station in heavy fog and burst into flames killing the pilot.","(34.185797, -118.322584)",33.9763174068935,-116.083168093533,"United States","United States","correct location"
"66",310,345,346,"07/27/1934",1934,"09-10","Tuttlingen, Germany","Swissair","Zurich - Stuttgart - Leipzig - Berlin","Curtiss AT-32C Condor","Curtiss","CH-170","53",12,9,3,12,9,3,0,"The aircraft crashed during a violent storm near the Swiss - Germany border. The plane fell from a height of 3,000 feet, bursting into flames. Failure of the right wing caused by fractures in the structure which occurred because of  oscillations in the wing.","(47.984131, 8.817883)",47.7169200181102,9.55369868597788,"Germany","Germany","correct location"
"67",320,356,358,"12/10/1934",1934,"07-08","Palma Soriano, Cuba","Cubana de Aviacion","Havana - Santiago de Cuba","Ford 4-AT-E Tri-motor","Ford","NM-7","4-AT-63",8,5,3,4,2,2,0,"Crashed into a mountain in poor weater condtions and low visiblity while en route.","(20.21722, -75.99889)",21.1251936707441,-75.8665821100228,"Cuba","Cuba","correct location"
